fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
MS__WUIS__p_a,MS,WUI-S,p_a,area_proportion,82,0,0.050000000000,0.013414634146,27,22,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MS__WUIS__p_s,MS,WUI-S,p_s,structure_proportion,82,0,0.050000000000,0.006097560976,25,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MS__WUIZ__p_a,MS,WUI-Z,p_a,area_proportion,82,0,0.050000000000,0.008536585366,24,14,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MT__WUIP__p_a,MT,WUI-P,p_a,area_proportion,56,0,0.050000000000,0.003571428571,19,4,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MT__WUIP__p_s,MT,WUI-P,p_s,structure_proportion,56,0,0.050000000000,0.000892857143,16,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MT__WUIS__p_a,MT,WUI-S,p_a,area_proportion,56,0,0.050000000000,0.000892857143,12,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MT__WUIS__p_s,MT,WUI-S,p_s,structure_proportion,56,0,0.050000000000,0.000892857143,14,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MT__WUIZ__p_a,MT,WUI-Z,p_a,area_proportion,56,0,0.050000000000,0.000892857143,13,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NC__WUIP__p_a,NC,WUI-P,p_a,area_proportion,100,0,0.050000000000,0.005500000000,33,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NC__WUIP__p_s,NC,WUI-P,p_s,structure_proportion,100,0,0.050000000000,0.007500000000,25,15,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NC__WUIS__p_a,NC,WUI-S,p_a,area_proportion,100,0,0.050000000000,0.007500000000,38,15,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NC__WUIS__p_s,NC,WUI-S,p_s,structure_proportion,100,0,0.050000000000,0.007500000000,26,15,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NC__WUIZ__p_a,NC,WUI-Z,p_a,area_proportion,100,0,0.050000000000,0.009000000000,41,18,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
ND__WUIP__p_a,ND,WUI-P,p_a,area_proportion,53,0,0.050000000000,0.000943396226,16,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
ND__WUIP__p_s,ND,WUI-P,p_s,structure_proportion,53,0,0.050000000000,0.004716981132,19,5,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
ND__WUIS__p_a,ND,WUI-S,p_a,area_proportion,53,0,0.050000000000,0.019811320755,22,21,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
ND__WUIS__p_s,ND,WUI-S,p_s,structure_proportion,53,0,0.050000000000,0.017924528302,25,19,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
ND__WUIZ__p_a,ND,WUI-Z,p_a,area_proportion,53,0,0.050000000000,0.000943396226,8,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NE__WUIP__p_a,NE,WUI-P,p_a,area_proportion,93,0,0.050000000000,0.000537634409,10,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NE__WUIP__p_s,NE,WUI-P,p_s,structure_proportion,93,0,0.050000000000,0.005376344086,41,10,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NE__WUIS__p_a,NE,WUI-S,p_a,area_proportion,93,0,0.050000000000,0.000537634409,15,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NE__WUIS__p_s,NE,WUI-S,p_s,structure_proportion,93,0,0.050000000000,0.021505376344,49,40,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
NE__WUIZ__p_a,NE,WUI-Z,p_a,area_proportion,93,0,0.050000000000,0.000537634409,8,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NM__WUIP__p_a,NM,WUI-P,p_a,area_proportion,33,0,0.050000000000,0.001515151515,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
NM__WUIP__p_s,NM,WUI-P,p_s,structure_proportion,33,0,0.050000000000,0.001515151515,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
