analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
five_state_radius_sensitivity,PA,400,WUI-P/WUI-S,132533003.000000000000,50797845,0.740311089968,
five_state_radius_sensitivity,PA,400,WUI-P/WUI-Z,132533003.000000000000,58601169,0.463309665375,
five_state_radius_sensitivity,PA,400,WUI-S/WUI-Z,132533003.000000000000,62213070,0.490821687469,
five_state_radius_sensitivity,PA,500,WUI-P/WUI-S,132533003.000000000000,59435477,0.782566244063,
five_state_radius_sensitivity,PA,500,WUI-P/WUI-Z,132533003.000000000000,63192079,0.495803469292,
five_state_radius_sensitivity,PA,500,WUI-S/WUI-Z,132533003.000000000000,67171107,0.511378128695,
five_state_radius_sensitivity,PA,600,WUI-P/WUI-S,132533003.000000000000,61555195,0.786082165770,
five_state_radius_sensitivity,PA,600,WUI-P/WUI-Z,132533003.000000000000,63824802,0.506701846094,
five_state_radius_sensitivity,PA,600,WUI-S/WUI-Z,132533003.000000000000,68418485,0.518213783892,
five_state_radius_sensitivity,PA,700,WUI-P/WUI-S,132533003.000000000000,61838374,0.776080140788,
five_state_radius_sensitivity,PA,700,WUI-P/WUI-Z,132533003.000000000000,63132916,0.514161249894,
five_state_radius_sensitivity,PA,700,WUI-S/WUI-Z,132533003.000000000000,68441491,0.524407044259,
five_state_radius_sensitivity,PA,800,WUI-P/WUI-S,132533003.000000000000,65078411,0.789015592283,
five_state_radius_sensitivity,PA,800,WUI-P/WUI-Z,132533003.000000000000,65046350,0.519306571391,
five_state_radius_sensitivity,PA,800,WUI-S/WUI-Z,132533003.000000000000,70715522,0.522963275305,
five_state_radius_sensitivity,PA,900,WUI-P/WUI-S,132533003.000000000000,66394340,0.791587656418,
five_state_radius_sensitivity,PA,900,WUI-P/WUI-Z,132533003.000000000000,65719328,0.521096457347,
five_state_radius_sensitivity,PA,900,WUI-S/WUI-Z,132533003.000000000000,71686945,0.521644436096,
five_state_radius_sensitivity,PA,1000,WUI-P/WUI-S,132533003.000000000000,66843448,0.788086769551,
five_state_radius_sensitivity,PA,1000,WUI-P/WUI-Z,132533003.000000000000,65679331,0.523129567200,
five_state_radius_sensitivity,PA,1000,WUI-S/WUI-Z,132533003.000000000000,72018457,0.521553731705,
five_state_radius_sensitivity,TX,100,WUI-P/WUI-S,772955584.000000000000,39128639,0.500520424439,
five_state_radius_sensitivity,TX,100,WUI-P/WUI-Z,772955584.000000000000,62572284,0.264126669885,
five_state_radius_sensitivity,TX,100,WUI-S/WUI-Z,772955584.000000000000,63138852,0.254462038683,
five_state_radius_sensitivity,TX,200,WUI-P/WUI-S,772955584.000000000000,89941452,0.586332250896,
five_state_radius_sensitivity,TX,200,WUI-P/WUI-Z,772955584.000000000000,91716595,0.310294892653,
five_state_radius_sensitivity,TX,200,WUI-S/WUI-Z,772955584.000000000000,93851662,0.300909343513,
five_state_radius_sensitivity,TX,300,WUI-P/WUI-S,772955584.000000000000,103300386,0.617188923186,
five_state_radius_sensitivity,TX,300,WUI-P/WUI-Z,772955584.000000000000,105832409,0.305470160846,
five_state_radius_sensitivity,TX,300,WUI-S/WUI-Z,772955584.000000000000,97433785,0.318705334089,
five_state_radius_sensitivity,TX,400,WUI-P/WUI-S,772955584.000000000000,88524437,0.638506122326,
five_state_radius_sensitivity,TX,400,WUI-P/WUI-Z,772955584.000000000000,92245274,0.356177434087,
five_state_radius_sensitivity,TX,400,WUI-S/WUI-Z,772955584.000000000000,88105619,0.356759516099,
five_state_radius_sensitivity,TX,500,WUI-P/WUI-S,772955584.000000000000,100965693,0.674336420392,
five_state_radius_sensitivity,TX,500,WUI-P/WUI-Z,772955584.000000000000,98795653,0.362152411706,
five_state_radius_sensitivity,TX,500,WUI-S/WUI-Z,772955584.000000000000,99069485,0.353262954784,
five_state_radius_sensitivity,TX,600,WUI-P/WUI-S,772955584.000000000000,100091805,0.698265727149,
five_state_radius_sensitivity,TX,600,WUI-P/WUI-Z,772955584.000000000000,99432286,0.370756949106,
five_state_radius_sensitivity,TX,600,WUI-S/WUI-Z,772955584.000000000000,97284439,0.369964717584,
five_state_radius_sensitivity,TX,700,WUI-P/WUI-S,772955584.000000000000,96277967,0.713908873876,
