state,radius_m,method_pair,common_valid_pixels,union_pixels,union_area_km2,jaccard
RI,500,WUI-P/WUI-Z,4446043,2114143,1902.728700000000,0.719593234706
RI,500,WUI-S/WUI-Z,4446043,2110799,1899.719100000000,0.723975139272
SC,500,WUI-P/WUI-S,92156012,37350204,33615.183599999997,0.616535400985
SC,500,WUI-P/WUI-Z,92156012,38464955,34618.459499999997,0.437534425817
SC,500,WUI-S/WUI-Z,92156012,42302915,38072.623500000002,0.505456586148
SD,500,WUI-P/WUI-S,221921550,10904224,9813.801600000001,0.246154059198
SD,500,WUI-P/WUI-Z,221921542,5083960,4575.564000000000,0.191045169514
SD,500,WUI-S/WUI-Z,221921542,9497533,8547.779699999999,0.114929003142
TN,500,WUI-P/WUI-S,121238469,41324997,37192.497300000003,0.799113040468
TN,500,WUI-P/WUI-Z,121238469,46965127,42268.614300000001,0.471634815339
TN,500,WUI-S/WUI-Z,121238469,47445574,42701.016600000003,0.464787779783
TX,500,WUI-P/WUI-S,772955584,100965693,90869.123699999996,0.674336420392
TX,500,WUI-P/WUI-Z,772955584,98795653,88916.087700000004,0.362152411706
TX,500,WUI-S/WUI-Z,772955584,99069485,89162.536500000002,0.353262954784
UT,500,WUI-P/WUI-S,244316751,9803584,8823.225600000000,0.588025970910
UT,500,WUI-P/WUI-Z,244316751,7978726,7180.853400000000,0.424368000606
UT,500,WUI-S/WUI-Z,244316751,10113001,9101.700900000000,0.336377995018
VA,500,WUI-P/WUI-S,123095781,56999467,51299.520299999996,0.785637153414
VA,500,WUI-P/WUI-Z,123095781,62344701,56110.230900000002,0.483026504530
VA,500,WUI-S/WUI-Z,123095781,62578261,56320.434900000000,0.479588095297
VT,500,WUI-P/WUI-S,27670406,12632215,11368.993500000000,0.824081762383
VT,500,WUI-P/WUI-Z,27670406,14161586,12745.427400000000,0.476200335188
VT,500,WUI-S/WUI-Z,27670406,14174545,12757.090500000000,0.471634045396
WA,500,WUI-P/WUI-S,205186365,31011169,27910.052100000001,0.697923706133
WA,500,WUI-P/WUI-Z,205186365,29181722,26263.549800000001,0.462212956453
WA,500,WUI-S/WUI-Z,205186365,30575717,27518.145300000000,0.445889788946
WI,500,WUI-P/WUI-S,188484126,77728805,69955.924499999994,0.490095389991
WI,500,WUI-P/WUI-Z,188484126,80050241,72045.216899999999,0.194212694500
WI,500,WUI-S/WUI-Z,188484126,43980438,39582.394200000002,0.283149385643
WV,500,WUI-P/WUI-S,69728289,34442260,30998.034000000000,0.756332946793
WV,500,WUI-P/WUI-Z,69728289,36116081,32504.472900000001,0.401022802003
WV,500,WUI-S/WUI-Z,69728289,32770589,29493.530100000000,0.413815998242
WY,500,WUI-P/WUI-S,281473571,13416728,12075.055200000001,0.455068180558
WY,500,WUI-P/WUI-Z,281473571,9797594,8817.834600000000,0.230401770067
WY,500,WUI-S/WUI-Z,281473571,10843956,9759.560400000000,0.199011043571
