state,method,buffer_m,variable,formal_fdr_cluster_type,county_count
TN,WUI-S,500,p_s,NOT_SIGNIFICANT,95
TN,WUI-Z,500,p_a,HH,2
TN,WUI-Z,500,p_a,HL,1
TN,WUI-Z,500,p_a,LL,7
TN,WUI-Z,500,p_a,NOT_SIGNIFICANT,85
TX,WUI-P,500,p_a,HH,27
TX,WUI-P,500,p_a,LL,31
TX,WUI-P,500,p_a,NOT_SIGNIFICANT,196
TX,WUI-P,500,p_s,HH,12
TX,WUI-P,500,p_s,HL,1
TX,WUI-P,500,p_s,LL,23
TX,WUI-P,500,p_s,NOT_SIGNIFICANT,218
TX,WUI-S,500,p_a,HH,23
TX,WUI-S,500,p_a,LH,1
TX,WUI-S,500,p_a,LL,29
TX,WUI-S,500,p_a,NOT_SIGNIFICANT,201
TX,WUI-S,500,p_s,HH,18
TX,WUI-S,500,p_s,HL,1
TX,WUI-S,500,p_s,LL,28
TX,WUI-S,500,p_s,NOT_SIGNIFICANT,207
TX,WUI-Z,500,p_a,HH,16
TX,WUI-Z,500,p_a,LL,23
TX,WUI-Z,500,p_a,NOT_SIGNIFICANT,215
UT,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,29
UT,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,29
UT,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,29
UT,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,29
UT,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,29
VA,WUI-P,500,p_a,NOT_SIGNIFICANT,133
VA,WUI-P,500,p_s,NOT_SIGNIFICANT,133
VA,WUI-S,500,p_a,NOT_SIGNIFICANT,133
VA,WUI-S,500,p_s,NOT_SIGNIFICANT,133
VA,WUI-Z,500,p_a,NOT_SIGNIFICANT,133
VT,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,14
VT,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,14
VT,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,14
VT,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,14
VT,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,14
WA,WUI-P,500,p_a,NOT_SIGNIFICANT,39
WA,WUI-P,500,p_s,NOT_SIGNIFICANT,39
WA,WUI-S,500,p_a,LL,3
WA,WUI-S,500,p_a,NOT_SIGNIFICANT,36
WA,WUI-S,500,p_s,NOT_SIGNIFICANT,39
WA,WUI-Z,500,p_a,LL,4
WA,WUI-Z,500,p_a,NOT_SIGNIFICANT,35
WI,WUI-P,500,p_a,NOT_SIGNIFICANT,72
WI,WUI-P,500,p_s,HH,11
WI,WUI-P,500,p_s,LL,12
WI,WUI-P,500,p_s,NOT_SIGNIFICANT,49
WI,WUI-S,500,p_a,NOT_SIGNIFICANT,72
WI,WUI-S,500,p_s,HH,11
WI,WUI-S,500,p_s,LL,12
WI,WUI-S,500,p_s,NOT_SIGNIFICANT,49
WI,WUI-Z,500,p_a,NOT_SIGNIFICANT,72
WV,WUI-P,500,p_a,NOT_SIGNIFICANT,55
WV,WUI-P,500,p_s,NOT_SIGNIFICANT,55
WV,WUI-S,500,p_a,NOT_SIGNIFICANT,55
WV,WUI-S,500,p_s,NOT_SIGNIFICANT,55
WV,WUI-Z,500,p_a,NOT_SIGNIFICANT,55
WY,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,23
WY,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,23
WY,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,23
WY,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,23
WY,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,23
